model,link,cost
Apple iPhone 12 Mini 128GB / Roxo / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-roxo-grau-a/,"722,15€"
Apple iPhone 12 Mini 128GB / Azul / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-azul-grau-a-2/,"743,60€"
Apple iPhone 12 128GB / Vermelho / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-12/apple-iphone-12-128gb-vermelho-grau-c-3/,"654,37€"
Apple iPhone 11 Pro 512GB / Prateado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro/apple-iphone-11-pro-512gb-prateado-grau-a/,"861,22€"
Apple iPhone 11 256GB / Branco / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-11/apple-iphone-11-256gb-branco-grau-c/,"572,47€"
Apple iPhone 11 128GB / Vermelho / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-11/apple-iphone-11-128gb-vermelho-grau-b-3/,"514,70€"
Apple iPhone 11 Pro 64GB / Prateado / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro/apple-iphone-11-pro-64gb-prateado-grau-premium-2/,"785,20€"
Apple iPhone Xs Max 64GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xs-max/apple-iphone-xs-max-64gb-cinzento-grau-b-3/,"426,97€"
Apple iPhone Xs Max 64GB / Prateado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xs-max/apple-iphone-xs-max-64gb-prateado-grau-c-mais/,"468,00€"
Apple iPhone Xs 512GB / Prateado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xs/apple-iphone-xs-512gb-prateado-grau-c-mais/,"483,21€"
Apple iPhone XR 64GB / Branco / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-branco-grau-b-7/,"430,66€"
Apple iPhone XR 128GB / Amarelo / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-128gb-amarelo-grau-b-3/,"477,36€"
Apple iPhone SE 16GB / Rosa Dourado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-16gb-rosa-dourado-grau-a/,"120,33€"
Apple iPhone SE (2022) 64GB / Vermelho / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-se-2022/apple-iphone-se-2022-64gb-vermelho-grau-a-2/,"543,27€"
Apple iPhone 8 Plus 64GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-64gb-cinzento-grau-b-3/,"290,75€"
Apple iPhone 8 64GB / Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-64gb-dourado-grau-c-mais-3/,"219,60€"
Apple iPhone 8 64GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-64gb-prateado-grau-c-2/,"211,56€"
Apple iPhone 7 Plus 128GB / Preto Brilhante / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-128gb-preto-brilhante-grau-c-3/,"245,70€"
Apple iPhone 6S Plus 128GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-6s-plus/apple-iphone-6s-plus-128gb-cinzento-grau-b/,"223,86€"
Apple iPhone 5S 16GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-16gb-prateado-grau-c-5/,"110,57€"
Apple iPhone 4S 8GB / Preto / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-4s/apple-iphone-4s-8gb-preto-grau-c/,"65,61€"
